Title,Price,Date
Laptop gamingowy Lenovo IdeaPad Gaming 3 15IHU6 15,6 120Hz  i5-11320H - 16GB RAM - 512GB Dysk - GTX1650  - Win11,3 899 zł,2022-12-29
Laptop gamingowy ASUS TUF Dash F15 2022 FX517ZR-HN002W 15,6 144Hz  i7-12650H - 16GB RAM - 512GB Dysk - RTX3070  - Win11,6 749 zł,2022-12-29
Laptop gamingowy Acer Nitro 5 AN517-54-76N5 17,3 165Hz  i7-11800H - 16GB RAM - 1TB Dysk - RTX3070  - Win11,6 499 zł,2022-12-29
Laptop Apple MacBook Air M1 13,3 M1 - 8GB RAM - 256GB Dysk - macOS (gwiezdna szarość) US,4 599 zł,2022-12-29
Laptop gamingowy ASUS TUF Gaming F15 FX506LHB-HN323 15,6 144Hz  i5-10300H - 8GB RAM - 512GB Dysk - GTX1650,3 899 zł,2022-12-29
Laptop Apple MacBook Air M2 13,6 M2 - 16GB RAM - 256GB Dysk - macOS (północ),7 999 zł,2022-12-29
Laptop ultrabook ASUS Zenbook 14X OLED UX5401EA-L7099W OLED 14 90Hz  i7-1165G7 - 16GB RAM - 512GB Dysk - Win11,4 599 zł,2022-12-29
Laptop gamingowy HP Victus 15-fb0222nw 15,6 144Hz R5 5600H - 16GB RAM - 512GB Dysk - GTX1650,3 599 zł,2022-12-29
Laptop gamingowy ASUS ROG Strix G17 G713QR-K4088 17,3 165Hz R7 5800H - 16GB RAM - 512GB Dysk - RTX3070,8 499 zł,2022-12-29
Laptop ASUS X515JA-BQ3409W 15,6  i5-1035G1 - 16GB RAM - 512GB Dysk - Win11,2 799 zł,2022-12-29
Laptop ASUS X515JA-BQ3211W 15,6  i5-1035G1 - 8GB RAM - 512GB Dysk - Win11,2 499 zł,2022-12-29
Laptop chromebook Acer Chromebook CB314-2H-K7U6 14 MediaTek MB8183 - 4GB RAM - 128GB Dysk - ChromeOS,1 499 zł,2022-12-29
Laptop ultrabook ASUS ZenBook 13 UX325EA-KG455W OLED 13,3  i5-1135G7 - 16GB RAM - 512GB Dysk - Win11,4 199 zł,2022-12-29
Laptop gamingowy ASUS TUF Gaming F15 FX506LHB-HN324W 15,6 144Hz  i5-10300H - 16GB RAM - 512GB Dysk - GTX1650  - Win11,4 199 zł,2022-12-29
Laptop Apple MacBook Air M2 13,6 M2 - 8GB RAM - 256GB Dysk - macOS (północ),6 799 zł,2022-12-29
Laptop Dell Inspiron 5310-8482 13,3  i5-11320H - 16GB RAM - 512GB Dysk - Win11,3 499 zł,2022-12-29
Laptop Dell Inspiron 3525-6518 15,6 120Hz R5 5625U - 8GB RAM - 512GB Dysk - Win11,3 199 zł,2022-12-29
Laptop ASUS X515EA-BQ1445W 15,6  i5-1135G7 - 8GB RAM - 512GB Dysk - Win11,2 899 zł,2022-12-29
Laptop 2w1 Microsoft Surface Go 3 10,5  Pentium Gold 6500Y - 4GB RAM - 64GB Dysk - Win11 S,1 999 zł,2022-12-29
Laptop gamingowy Lenovo Legion 5 15ACH6H 15,6 165Hz R5 5600H - 16GB RAM - 1TB Dysk - RTX3070,6 599 zł,2022-12-29
Laptop gamingowy Lenovo IdeaPad Gaming 3 15IHU6 15,6120Hz  i5-11320H - 16GB RAM - 512GB Dysk - RTX3050  - Win11,3 849 zł,2022-12-29
Laptop gamingowy Dell G15 5511-6204 15,6 120Hz  i5-11260H - 16GB RAM - 512GB Dysk - RTX3050  - Win11,3 999 zł,2022-12-29
Laptop gamingowy Lenovo Legion 5 15ITH6H 15,6 165Hz  i5-11400H - 16GB RAM - 512GB Dysk - RTX3060,5 799 zł,2022-12-29
Laptop ASUS X515JA-BQ2624W 15,6  i3-1005G1 - 8GB RAM - 256GB Dysk - Win11,1 899 zł,2022-12-29
Laptop Apple MacBook Air M1 13,3 M1 - 16GB RAM - 256GB Dysk - macOS (srebrny),6 599 zł,2022-12-29
Laptop Acer Aspire 5 A515-57-51BU 15,6  i5-1235U - 16GB RAM - 512GB Dysk - Win11,3 699 zł,2022-12-29
Laptop Apple MacBook Air M1 13,3 M1 - 16GB RAM - 256GB Dysk - macOS (gwiezdna szarość),6 599 zł,2022-12-29
Laptop ultrabook ASUS ZenBook 14 UX3402ZA-KP374W 14''  i5-1240P - 16GB RAM - 512GB Dysk - Win11,3 999 zł,2022-12-29
Laptop Huawei MateBook D 15 15,6  i5-1135G7 - 16GB RAM - 512GB Dysk - Win11,2 999 zł,2022-12-29
Laptop gamingowy HP Victus 15-fb0222nw 15,6 144Hz R5 5600H - 16GB RAM - 512GB Dysk - GTX1650  - Win11,3 699 zł,2022-12-29
Laptop biznesowy Dell Inspiron 16 16 5620-5613 16''  i7-1255U - 16GB RAM - 1TB Dysk - Win11,5 499 zł,2022-12-29
Laptop Acer Aspire 3 A315-58-37N1 15,6  i3-1115G4 - 8GB RAM - 512GB Dysk - Win11,2 299 zł,2022-12-29
Laptop Apple MacBook Air M1 13,3 M1 - 8GB RAM - 256GB Dysk - macOS (złoty),5 399 zł,2022-12-29
Laptop Acer Aspire 3 A315-58-39PH 15,6  i3-1115G4 - 4GB RAM - 256GB Dysk - Win11S,1 699 zł,2022-12-29
Laptop Acer Aspire 3 A315-23-R6CP 15,6 R5 3500U - 16GB RAM - 512GB Dysk - Win11,2 299 zł,2022-12-29
Laptop gamingowy Lenovo IdeaPad Gaming 3 15IHU6 15,6 120Hz  i5-11300H - 16GB RAM - 512GB Dysk - RTX3050  - Win11,4 299 zł,2022-12-29
Laptop ultrabook ASUS VivoBook 15 K513EA-L11957W OLED 15,6  i5-1135G7 - 16GB RAM - 512GB Dysk - Win11,4 299 zł,2022-12-29
Laptop gamingowy Acer Nitro 5 AN517-55-78BX 17,3 165Hz  i7-12700H - 16GB RAM - 1TB Dysk - RTX3070Ti  - Win11,7 799 zł,2022-12-29
Laptop ultrabook ASUS ZenBook 13 UX325EA-KG649W OLED 13,3  i5-1135G7 - 16GB RAM - 512GB Dysk - Win11,4 199 zł,2022-12-29
Laptop Lenovo IdeaPad 3 17ITL6 17,3  i3-1115G4 - 8GB RAM - 512GB Dysk - Win11,2 149 zł,2023-02-23
Laptop chromebook Acer Chromebook CB315-3H-C2ED 15,6  Celeron N4020 8GB RAM - 128GB Dysk - ChromeOS,1 799 zł,2023-02-23
Laptop Acer Aspire 3 A317-53-33NX 17,3  i3-1115G4 - 16GB RAM - 512GB Dysk - Win11,3 099 zł,2023-02-23
Laptop Lenovo IdeaPad 3 15ITL6 15,6  i3-1115G4 - 8GB RAM - 512GB Dysk - Win11S,2 099 zł,2023-02-23
Laptop Apple MacBook Air M2 13,6 M2 - 8GB RAM - 256GB Dysk - macOS (gwiezdna szarość) US,6 999 zł,2023-02-23
Laptop gamingowy Acer Nitro 5 AN515-58-54R4 15,6 144Hz  i5-12500H - 8GB RAM - 512GB Dysk - RTX3050Ti  - Win11,4 499 zł,2023-02-23
Laptop Apple MacBook Air M1 13,3 M1 - 8GB RAM - 256GB Dysk - macOS (srebrny),5 799 zł,2023-02-23
Laptop Apple MacBook Air M2 13,6 M2 - 8GB RAM - 256GB Dysk - macOS (srebrny) US,6 749 zł,2023-02-23
Laptop gamingowy Lenovo Legion 5 15ACH6H 15,6 165Hz R7 5800H - 16GB RAM - 512GB Dysk - RTX3060  - Win11,6 599 zł,2023-02-23
Laptop ASUS X515JA-BQ3327W 15,6  i3-1005G1 - 8GB RAM - 512GB Dysk - Win11,1 999 zł,2023-02-23
Laptop Huawei MateBook D 16 16  i7-12700H - 16GB RAM - 512GB Dysk - Win11,4 499 zł,2023-02-23
Laptop Lenovo IdeaPad 3 15ALC6 15,6 R5 5500U - 8GB RAM - 512GB Dysk - Win11,2 799 zł,2023-02-23
Laptop gamingowy Lenovo Legion 7 15IMH05 15,6 144Hz  i7-10750H - 16GB RAM - 1TB SSD Dysk - RTX2080SMQ,9 399 zł,2023-02-23
Laptop ASUS X515EA-BQ1735W 15,6  i5-1135G7 - 16GB RAM - 512GB Dysk - Win11,3 199 zł,2023-02-23
Laptop Apple MacBook Pro 2021 14,2 M1 Pro - 16GB RAM - 1TB Dysk - macOS (srebrny),11 499 zł,2023-02-23
Laptop gamingowy Lenovo Legion 5 15ACH6H 15,6 165Hz R5 5600H - 16GB RAM - 1TB Dysk - RTX3070  - Win11,7 999 zł,2023-02-23
Laptop Apple MacBook Pro 2023 14,2 M2 Pro - 16GB RAM - 512GB Dysk - macOS (gwiezdna szarość),11 399 zł,2023-02-23
