Sklep;Nazwa;Model;Cena;Data;Ekran (przekątna);Procesor;Pamięć RAM;Dedykowany układ graficzny
MediaMarkt;ASUS;Gaming F15 FX506HC-HN004W;3999;2023.06.24;"15.6""";Intel® Core™ i5-11400H (6 rdzeni, 12 wątków, 2.7-4.5 GHz);16 GB DDR4;NVIDIA GeForce RTX™ 3050 4 GB GDDR6
MediaMarkt;HP;15-fb0181nw FHD Ryzen;3999;2023.06.24;"15.6""";AMD Ryzen™ 5 5600H (6 rdzeni, 12 wątków, 3.3-4.2 GHz);16 GB DDR4;NVIDIA GeForce RTX™ 3050 4 GB GDDR6
MediaMarkt;HP;15-fb0111n FHD Ryzen;3299;2023.06.24;"15.6""";AMD Ryzen™ 5 5600H (6 rdzeni, 12 wątków, 3.3-4.2 GHz);8 GB DDR4;NVIDIA GeForce® GTX 1650 4 GB GDDR6
MediaMarkt;ASUS;Gaming F17 (2022) FX707ZC4-HX008W;4699;2023.06.24;"17.3""";Intel® Core™ i5-12500H (12 rdzeni, 16 wątków, 2.5-4.5 GHz);16 GB DDR4;NVIDIA GeForce RTX™ 3050 4 GB GDDR6
MediaMarkt;ASUS;Dash F15 (2022) FX517ZR-HN007WA;6399;2023.06.24;"15.6""";Intel® Core™ i5-12450H (8 rdzeni, 12 wątków, 3.3-4.4 GHz);16 GB DDR5;NVIDIA GeForce RTX™ 3070 8 GB GDDR6
MediaMarkt;LENOVO;Gaming 3 15IHU6 82K101EYPB;3999;2023.06.24;"15.6""";Intel® Core™ i5-11320H (4 rdzenie, 8 wątków, 2.5-4.5 GHz);16 GB DDR4;NVIDIA GeForce RTX™ 3050 4 GB GDDR6
MediaMarkt;ASUS;Gaming F15 FX506HEB-HN012W;4499;2023.06.24;"15.6""";Intel® Core™ i5-11400H (6 rdzeni, 12 wątków, 2.7-4.5 GHz);16 GB DDR4;NVIDIA GeForce RTX™ 3050 Ti 4 GB GDDR6
MediaMarkt;LENOVO;Gaming 3 15IAH7 82S900YWPB;4899;2023.06.24;"15.6""";Intel® Core™ i5-12450H (8 rdzeni, 12 wątków, 1.5-4.4 GHz);16 GB DDR4;NVIDIA GeForce RTX™ 3060 6 GB GDDR6
MediaMarkt;HP;FHD Ryzen;2799;2023.06.24;"15.6""";AMD Ryzen™ 5 5625U (6 rdzeni, 12 wątków, 2.3-4.3 GHz);16 GB DDR4;AMD Radeon™
MediaMarkt;LENOVO;3 15ALC6 82KU018HPB FHD Ryzen;2399;2023.06.24;"15.6""";AMD Ryzen™ 5 5500U (6 rdzeni, 12 wątków, 2.1-4 GHz);16 GB DDR4;AMD Radeon™
MediaMarkt;ASUS;15 X1500EA-BQ3415W;3099;2023.06.24;"15.6""";Intel® Core™ i5-1135G7 (4 rdzenie, 8 wątków, 2.4-4.2 GHz);16 GB DDR4;INTEL Iris® Xe
MediaMarkt;HP;FHD Ryzen;2399;2023.06.24;"15.6""";AMD Ryzen™ 5 5625U (6 rdzeni, 12 wątków, 2.3-4.3 GHz);8 GB DDR4;AMD Radeon™
MediaMarkt;LENOVO;3 15ITL6 82H801QSPB;2499;2023.06.24;"15.6""";Intel® Core™ i5-1135G7 (4 rdzenie, 8 wątków, 2.4-4.2 GHz);8 GB DDR4;INTEL Iris® Xe
MediaMarkt;ASUS;;2499;2023.06.24;"15.6""";Intel® Core™ i5-1135G7 (4 rdzenie, 8 wątków, 2.4-4.2 GHz);8 GB DDR4;INTEL Iris® Xe
MediaMarkt;ASUS;;2399;2023.06.24;"15.6""";Intel® Core™ i5-1035G1 (4 rdzenie, 8 wątków, 1-3.6 GHz);8 GB DDR4;Intel UHD
MediaMarkt;HP;15-eg2221nw;3499;2023.06.24;"15.6""";Intel® Core™ i5-1235U (10 rdzeni, 12 wątków, 0.9-4.4 GHz);16 GB DDR4;INTEL Iris® Xe
MediaMarkt;LENOVO;3 15ITL6 82H801QQPB;1999;2023.06.24;"15.6""";Intel® Core™ i3-1115G4 (2 rdzenie, 4 wątki, 3-4.1 GHz);8 GB DDR4;Intel UHD
MediaMarkt;HP;;1899;2023.06.24;"15.6""";Intel® Core™ i3-1115G4 (2 rdzenie, 4 wątki, 3-4.1 GHz);8 GB DDR4;Intel UHD
MediaMarkt;HP;15-eh2321nw FHD Ryzen;2999;2023.06.24;"15.6""";AMD Ryzen™ 5 5625U (6 rdzeni, 12 wątków, 2.3-4.3 GHz);8 GB DDR4;AMD Radeon™
MediaMarkt;ACER;3 A315-24P-R1GN FHD Ryzen;2299;2023.06.24;"15.6""";AMD Ryzen™ 5 7520U (4 rdzenie, 8 wątków, 2.8-4.3 GHz);16 GB DDR5;AMD Radeon™ 610M
MediaMarkt;APPLE;Air;4299;2023.06.24;"13.3""";Apple M1 (8 rdzeni);8 GB DDR4;APPLE M1 (7-rdzeniowe gpu)
MediaMarkt;APPLE;Air;4299;2023.06.24;"13.3""";Apple M1 (8 rdzeni);8 GB DDR4;APPLE M1 (7-rdzeniowe gpu)
MediaMarkt;APPLE;Air;6999;2023.06.24;"13.6""";Apple M2 (8 rdzeni);16 GB DDR4;APPLE M2 (8-rdzeniowe GPU)
MediaMarkt;APPLE;Pro 16;14279;2023.06.24;"16.2""";Apple M2 Pro (12 rdzeni);16 GB;Apple M2 Pro (19‑rdzeniowe GPU)
MediaMarkt;APPLE;Air;7299;2023.06.24;"13.6""";Apple M2 (8 rdzeni);16 GB DDR4;APPLE M2 (8-rdzeniowe GPU)
MediaMarkt;LENOVO;Gaming 3 15ACH6 82K2014KPB FHD Ryzen;3299;2023.06.24;"15.6""";AMD Ryzen™ 5 5600H (6 rdzeni, 12 wątków, 3.3-4.2 GHz);16 GB DDR4;NVIDIA GeForce® GTX 1650 4 GB GDDR6
MediaMarkt;APPLE;Air;7559;2023.06.24;"13.6""";Apple M2 (8 rdzeni);8 GB DDR4;APPLE M2 (10-rdzeniowe GPU)
MediaMarkt;APPLE;Air;6339;2023.06.24;"13.6""";Apple M2 (8 rdzeni);8 GB DDR4;APPLE M2 (8-rdzeniowe GPU)
MediaMarkt;APPLE;Air;5959;2023.06.24;"13.6""";Apple M2 (8 rdzeni);8 GB DDR4;APPLE M2 (8-rdzeniowe GPU)
MediaMarkt;HP;FHD;1799;2023.06.24;"17.3""";Intel® Celeron® N4120 (4 rdzenie, 4 wątki, 1.1-2.6 GHz);8 GB DDR4;Intel UHD 600
MediaMarkt;ASUS;Strix G17 (2021) G713IM-HX055W FHD Ryzen;5799;2023.06.24;"17.3""";AMD Ryzen™ 7 4800H (8 rdzeni, 16 wątków, 2.9-4.2 GHz);16 GB DDR4;NVIDIA GeForce RTX™ 3060 6 GB GDDR6
MediaMarkt;APPLE;Air;7779;2023.06.24;"13.6""";Apple M2 (8 rdzeni);8 GB DDR4;APPLE M2 (10-rdzeniowe GPU)
MediaMarkt;HP;;3699;2023.06.24;"15.6""";Intel® Core™ i7-1255U (10 rdzeni, 12 wątków, 1.2-4.7 GHz);16 GB DDR4;INTEL Iris® Xe
MediaMarkt;LENOVO;Gaming 3 15IHU6 82K101F5PB;3099;2023.06.24;"15.6""";Intel® Core™ i5-11320H (4 rdzenie, 8 wątków, 2.5-4.5 GHz);8 GB DDR4;NVIDIA GeForce® GTX 1650 4 GB GDDR6
MediaMarkt;ASUS;Gaming F15 FX506LHB-HN323W;3399;2023.06.24;"15.6""";Intel® Core™ i5-10300H (4 rdzenie, 8 wątków, 2.5-4.5 GHz);8 GB DDR4;NVIDIA GeForce® GTX 1650 4 GB GDDR6
MediaMarkt;HP;;2199;2023.06.24;"15.6""";Intel® Core™ i3-1115G4 (2 rdzenie, 4 wątki, 3-4.1 GHz);8 GB DDR4;Intel UHD
MediaMarkt;LENOVO;3 15ALC6 82KU018FPB FHD Ryzen;1999;2023.06.24;"15.6""";AMD Ryzen™ 5 5500U (6 rdzeni, 12 wątków, 2.1-4 GHz);8 GB DDR4;AMD Radeon™
MediaMarkt;HP;16-d1104nw;5499;2023.06.24;"16.1""";Intel® Core™ i5-12500H (12 rdzeni, 16 wątków, 2.5-4.5 GHz);16 GB DDR5;NVIDIA GeForce RTX™ 3060 6 GB GDDR6
MediaMarkt;MICROSOFT;Laptop 4 13.5 Ryzen;4499;2023.06.24;"13.5""";AMD Ryzen™ 5 4680U (6 rdzeni, 12 wątków, 2.1-4 GHz);8 GB DDR4;AMD Radeon™ RX Vega 6
MediaMarkt;LENOVO;5 Pro 16ACH6 82L500HSPB WQXGA Ryzen;4349;2023.06.24;"16""";AMD Ryzen™ 5 5600H (6 rdzeni, 12 wątków, 3.3-4.2 GHz);16 GB DDR4;NVIDIA GeForce® GTX 1650 4 GB GDDR6
MediaMarkt;MICROSOFT;Surface Pro 9;7399;2023.06.24;"13""";Intel® Core™ i5-1235U (10 rdzeni, 12 wątków, 1.3-4.4 GHz);8 GB DDR5;INTEL Iris® Xe
MediaMarkt;ACER;3 A315-58-52AF;2599;2023.06.24;"15.6""";Intel® Core™ i5-1135G7 (4 rdzenie, 8 wątków, 2.4-4.8 GHz);8 GB DDR4;INTEL Iris® Xe
MediaMarkt;HP;FHD Ryzen;1999;2023.06.24;"15.6""";AMD Ryzen™ 3 5300U (4 rdzenie, 8 wątków, 2.6-3.8 GHz);8 GB DDR4;AMD Radeon™
MediaMarkt;HP;FHD;1599;2023.06.24;"15.6""";Intel® Celeron® N4500 (2 rdzenie, 2 wątki, 1.1-2.8 GHz);8 GB DDR4;Intel UHD
MediaMarkt;HP;;2099;2023.06.24;"14""";Intel® Core™ i3-1115G4 (2 rdzenie, 4 wątki, 1.7-4.1 GHz);8 GB DDR4;Intel UHD
MediaMarkt;ACER;3 A315-23-R1AF FHD Ryzen;2299;2023.06.24;"15.6""";AMD Ryzen™ 5 3500U (4 rdzenie, 8 wątków, 2.1-3.7 GHz);8 GB DDR4;AMD Radeon™
MediaMarkt;ASUS;16X X1603ZA-MB052WA;2599;2023.06.24;"16""";Intel® Core™ i5-12500H (12 rdzeni, 16 wątków, 2.5-4.5 GHz);8 GB DDR4;INTEL Iris® Xe
MediaMarkt;LENOVO;3 17ITL6 82H900GHPB;2199;2023.06.24;"17.3""";Intel® Core™ i3-1115G4 (2 rdzenie, 4 wątki, 3-4.1 GHz);8 GB DDR4;Intel UHD
MediaMarkt;HP;15-fa0001nw;5299;2023.06.24;"15.6""";Intel® Core™ i5-12450H (8 rdzeni, 12 wątków, 1.5-4.4 GHz);16 GB DDR4;NVIDIA GeForce RTX™ 3050 Ti 4 GB GDDR6
MediaMarkt;LENOVO;3 15IAU7 82RK006NPB;2899;2023.06.24;"15.6""";Intel® Core™ i5-1235U (10 rdzeni, 12 wątków, 1.3-4.4 GHz);8 GB DDR4;INTEL Iris® Xe
MediaMarkt;ASUS;16 D1603QA-MB132W WUXGA Ryzen;3039;2023.06.24;"16""";AMD Ryzen™ 5 5600H (6 rdzeni, 12 wątków, 3.3-4.2 GHz);16 GB DDR4;AMD Radeon™
MediaMarkt;MICROSOFT;Laptop Go 2 12.4;3699;2023.06.24;"12.4""";Intel® Core™ i5-1135G7 (4 rdzenie, 8 wątków, 2.4-4.2 GHz);8 GB DDR4;INTEL Iris® Xe
MediaMarkt;HP;Pavilion x360 Convertible 15-er1041nw FHD;3999;2023.06.24;"15.6""";Intel® Core™ i5-1235U (10 rdzeni, 8 wątków, 0.9-4.4 GHz);16 GB DDR4;INTEL Iris® Xe
MediaMarkt;LENOVO;5 15ITH6H 82JH00BDPB;5899;2023.06.24;"15.6""";Intel® Core™ i5-11400H (6 rdzeni, 12 wątków, 2.7-4.5 GHz);16 GB DDR4;NVIDIA GeForce RTX™ 3060 6 GB GDDR6
MediaMarkt;ASUS;;1799;2023.06.24;"15.6""";Intel® Core™ i3-10110U (2 rdzenie, 4 wątki, 2.1-4.1 GHz);8 GB DDR4;Intel UHD
MediaMarkt;HP;FHD Ryzen;3399;2023.06.24;"14""";AMD Ryzen™ 7 5825U (8 rdzeni, 16 wątków, 2-4.5 GHz);16 GB DDR4;AMD Radeon™
MediaMarkt;LENOVO;Slim 7 ProX 14IAH7 82TK0044PB;4499;2023.06.24;"14.5""";Intel® Core™ i5-12500H (12 rdzeni, 16 wątków, 2.5-4.5 GHz);16 GB DDR5;INTEL Iris® Xe
MediaMarkt;LENOVO;Gaming 3 15ACH6 82K2014WPB FHD Ryzen;3999;2023.06.24;"15.6""";AMD Ryzen™ 7 5800H (8 rdzeni, 16 wątków, 3.2-4.4 GHz);16 GB DDR4;NVIDIA GeForce RTX™ 3050 4 GB GDDR6
MediaMarkt;HP;16-d1004nw;6999;2023.06.24;"16.1""";Intel® Core™ i7-12700H (14 rdzeni, 20 wątków, 1.7-4.7 GHz);16 GB DDR5;NVIDIA GeForce RTX™ 3060 6 GB GDDR6
MediaMarkt;LG;2022 14Z90Q-G.AA55Y;6699;2023.06.24;"14""";Intel® Core™ i5-1240P (12 rdzeni, 16 wątków, 3.3-4.4 GHz);16 GB DDR5;INTEL Iris® Xe
MediaMarkt;LG;2022 16Z90Q-G.AA56Y;5399;2023.06.24;"16""";Intel® Core™ i5-1240P (12 rdzeni, 16 wątków, 3.3-4.4 GHz);16 GB DDR5;INTEL Iris® Xe
MediaMarkt;APPLE;Air;7299;2023.06.24;"15.3""";Apple M2 (8 rdzeni);8 GB;APPLE M2 (10-rdzeniowe GPU)
MediaMarkt;APPLE;Air;8499;2023.06.24;"15.3""";Apple M2 (8 rdzeni);8 GB;APPLE M2 (10-rdzeniowe GPU)
MediaMarkt;APPLE;Pro 14;11369;2023.06.24;"14.2""";Apple M1 Pro (10 rdzeni);16 GB;Apple M1 Pro (16-rdzeniowe GPU)
MediaMarkt;APPLE;Air;7299;2023.06.24;"15.3""";Apple M2 (8 rdzeni);8 GB;APPLE M2 (10-rdzeniowe GPU)
MediaMarkt;APPLE;Pro 14;18599;2023.06.24;"14.2""";Apple M2 Max (12 rdzeni);32 GB;Apple M2 Max (30‑rdzeniowe GPU)
MediaMarkt;APPLE;Air;8499;2023.06.24;"15.3""";Apple M2 (8 rdzeni);8 GB;APPLE M2 (10-rdzeniowe GPU)
MediaMarkt;APPLE;Air;8499;2023.06.24;"15.3""";Apple M2 (8 rdzeni);8 GB;APPLE M2 (10-rdzeniowe GPU)
MediaMarkt;MSI;GF76 11UE-465PL;5299;2023.06.24;"17.3""";Intel® Core™ i5-11400H (6 rdzeni, 12 wątków, 2.2-4.5 GHz);16 GB DDR4;NVIDIA GeForce RTX™ 3060 6 GB GDDR6
MediaMarkt;ASUS;Gaming F17 (2022) FX707ZC-HX013WA;4499;2023.06.24;"17.3""";Intel® Core™ i5-12500H (12 rdzeni, 16 wątków, 2.5-4.5 GHz);16 GB DDR5;NVIDIA GeForce RTX™ 3050 4 GB GDDR6
MediaMarkt;PEAQ;C151V-1G428P FHD;1299;2023.06.24;"15.6""";Intel® Celeron® N4020 (2 rdzenie, 2 wątki, 1.1-2.8 GHz);4 GB;Intel UHD 600
MediaMarkt;LENOVO;Slim 7 Pro 14IAH7 82UT001HPB;3999;2023.06.24;"14""";Intel® Core™ i5-12500H (12 rdzeni, 16 wątków, 2.5-4.5 GHz);16 GB DDR5;INTEL Iris® Xe
MediaMarkt;HP;;1899;2023.06.24;"15.6""";Intel® Core™ i3-1215U (6 rdzeni, 8 wątków, 0.9-4.4 GHz);8 GB DDR4;Intel UHD
MediaMarkt;HUAWEI;D14 (2021);2899;2023.06.24;"14""";Intel® Core™ i5-1155G7 (4 rdzenie, 8 wątków, 1-4.5 GHz);8 GB DDR4;INTEL Iris® Xe
MediaMarkt;HUAWEI;D16;3999;2023.06.24;"16""";Intel® Core™ i5-12450H (8 rdzeni, 12 wątków, 3.3-4.4 GHz);16 GB DDR4;Intel UHD
MediaMarkt;HP;;2699;2023.06.24;"15.6""";Intel® Core™ i5-1235U (10 rdzeni, 12 wątków, 0.9-4.4 GHz);8 GB DDR4;INTEL Iris® Xe
MediaMarkt;HP;FHD Ryzen;3199;2023.06.24;"15.6""";AMD Ryzen™ 7 5700U (8 rdzeni, 16 wątków, 1.8-4.3 GHz);16 GB DDR4;AMD Radeon™
MediaMarkt;ASUS;;1899;2023.06.24;"15.6""";Intel® Core™ i3-1005G1 (2 rdzenie, 4 wątki, 1.2-3.4 GHz);8 GB DDR4;Intel UHD
MediaMarkt;HP;15-eg2001nw;4599;2023.06.24;"15.6""";Intel® Core™ i7-1255U (10 rdzeni, 12 wątków, 1.2-4.7 GHz);16 GB DDR4;INTEL Iris® Xe
MediaMarkt;HP;15-fa0131nw;3299;2023.06.24;"15.6""";Intel® Core™ i5-12450H (8 rdzeni, 12 wątków, 1.5-4.4 GHz);8 GB DDR4;NVIDIA GeForce® GTX 1650 4 GB GDDR6
MediaMarkt;HUAWEI;D 15 (2021);2599;2023.06.24;"15.6""";Intel® Core™ i5-1135G7 (4 rdzenie, 8 wątków, 2.4-4.2 GHz);8 GB DDR4;INTEL Iris® Xe
MediaMarkt;ASUS;17 D712DA-BX857W HD+ Ryzen;2299;2023.06.24;"17.3""";AMD Ryzen™ 3 3250U (2 rdzenie, 4 wątki, 2.6-3.5 GHz);8 GB DDR4;AMD Radeon™
MediaMarkt;HP;17-cr0121nw;4999;2023.06.24;"17.3""";Intel® Core™ i5-1240P (12 rdzeni, 16 wątków, 1.2-4.4 GHz);16 GB DDR4;INTEL Iris® Xe
MediaMarkt;HP;16-b1051nw;7799;2023.06.24;"16.1""";Intel® Core™ i5-12500H (12 rdzeni, 16 wątków, 2.5-4.5 GHz);16 GB DDR5;NVIDIA GeForce RTX™ 3060 6 GB GDDR6
MediaMarkt;HP;;3799;2023.06.24;"14""";Intel® Core™ i7-1255U (10 rdzeni, 12 wątków, 1.2-4.7 GHz);16 GB DDR4;INTEL Iris® Xe
MediaMarkt;PEAQ;C171V-1G428P FHD;1499;2023.06.24;"17.3""";Intel® Celeron® N4020 (2 rdzenie, 2 wątki, 1.1-2.8 GHz);4 GB;Intel UHD 600
MediaMarkt;HUAWEI;D 15;3289;2023.06.24;"15.6""";Intel® Core™ i5-1155G7 (4 rdzenie, 8 wątków, 1-4.5 GHz);8 GB DDR4;INTEL Iris® Xe
MediaMarkt;ASUS;;2349;2023.06.24;"15.6""";Intel® Core™ i3-1005G1 (2 rdzenie, 4 wątki, 1.2-3.4 GHz);8 GB DDR4;Intel UHD
MediaMarkt;PEAQ;C151V-2G856P FHD Pentium;1699;2023.06.24;"15.6""";Intel® Pentium® Silver N5030 (4 rdzenie, 4 wątki, 1.1-3.1 GHz);8 GB;Intel UHD 605
MediaMarkt;LENOVO;Gaming 3 15ACH6 82K200NVPB FHD Ryzen;3999;2023.06.24;"15.6""";AMD Ryzen™ 5 5600H (6 rdzeni, 12 wątków, 3.3-4.2 GHz);8 GB DDR4;NVIDIA GeForce RTX™ 3050 Ti 4 GB GDDR6
MediaMarkt;LENOVO;5 Pro 16ACH6 82L500VWPB WQXGA Ryzen;4849;2023.06.24;"16""";AMD Ryzen™ 5 5600H (6 rdzeni, 12 wątków, 3.3-4.2 GHz);16 GB DDR4;NVIDIA GeForce® GTX 1650 4 GB GDDR6
MediaMarkt;HP;FHD Ryzen;2799;2023.06.24;"17.3""";AMD Ryzen™ 5 7520U (4 rdzenie, 8 wątków, 2.8-4.3 GHz);8 GB DDR5;AMD Radeon™ 610M
MediaMarkt;LENOVO;5 Pro 16ACH6 82L500HPPB WQXGA Ryzen;4749;2023.06.24;"16""";AMD Ryzen™ 5 5600H (6 rdzeni, 12 wątków, 3.3-4.2 GHz);16 GB DDR4;INTEL GeForce® GTX 1650 4 GB GDDR6
MediaMarkt;HP;15-eg2421nw;3299;2023.06.24;"15.6""";Intel® Core™ i5-1235U (10 rdzeni, 12 wątków, 0.9-4.4 GHz);8 GB DDR4;INTEL Iris® Xe
MediaMarkt;DELL;13 9305;4649;2023.06.24;"13.3""";Intel® Core™ i5-1135G7 (4 rdzenie, 8 wątków, 2.4-4.2 GHz);8 GB DDR4;INTEL Iris® Xe
MediaMarkt;LENOVO;3 15ALC6 82KU018GPB FHD Ryzen;2399;2023.06.24;"15.6""";AMD Ryzen™ 7 5700U (8 rdzeni, 16 wątków, 1.8-4.3 GHz);8 GB DDR4;AMD Radeon™
MediaMarkt;ASUS;;1879;2023.06.24;"15.6""";Intel® Core™ i3-1005G1 (2 rdzenie, 4 wątki, 1.2-3.4 GHz);8 GB DDR4;Intel UHD
MediaMarkt;ASUS;;2099;2023.06.24;"15.6""";Intel® Core™ i3-1005G1 (2 rdzenie, 4 wątki, 1.2-3.4 GHz);8 GB DDR4;Intel UHD
MediaMarkt;HP;15-eg1141nw;3699;2023.06.24;"15.6""";Intel® Core™ i5-1155G7 (4 rdzenie, 8 wątków, 1-4.5 GHz);8 GB DDR4;INTEL Iris® Xe
MediaMarkt;HP;13-ba1131nw;4699;2023.06.24;"13.3""";Intel® Core™ i5-1135G7 (4 rdzenie, 8 wątków, 2.4-4.2 GHz);8 GB DDR4;INTEL Iris® Xe
MediaMarkt;ASUS;FHD;1399;2023.06.24;"14""";Intel® Celeron® N4020 (2 rdzenie, 2 wątki, 1.1-2.8 GHz);4 GB DDR4;Intel UHD 600
MediaMarkt;LENOVO;5 15ACH6H 82JU00TCPB FHD Ryzen;4999;2023.06.24;"15.6""";AMD Ryzen™ 5 5600H (6 rdzeni, 12 wątków, 3.3-4.2 GHz);8 GB DDR4;NVIDIA GeForce RTX™ 3060 6 GB GDDR6
MediaMarkt;ASUS;FHD;1499;2023.06.24;"14""";Intel® Celeron® N4020 (2 rdzenie, 2 wątki, 1.1-2.8 GHz);4 GB DDR4;Intel UHD 600
MediaMarkt;HP;15-fa0139nw;3699;2023.06.24;"15.6""";Intel® Core™ i5-12450H (8 rdzeni, 12 wątków, 1.5-4.4 GHz);8 GB DDR4;NVIDIA GeForce® GTX 1650 4 GB GDDR6
MediaMarkt;LENOVO;Gaming 3 15IHU6 82K100QXPB;4099;2023.06.24;"15.6""";Intel® Core™ i5-11300H (4 rdzenie, 8 wątków, 3.1-4.1 GHz);16 GB DDR4;NVIDIA GeForce® GTX 1650 4 GB GDDR6
MediaMarkt;MICROSOFT;Surface Go 3 10.5 Pentium;2499;2023.06.24;"10.5""";Intel® Pentium® Gold 6500Y (2 rdzenie, 4 wątki, 1.1-3.4 GHz);4 GB DDR3;Intel UHD 615
MediaMarkt;ASUS;;1999;2023.06.24;"15.6""";Intel® Core™ i3-1115G4 (2 rdzenie, 4 wątki, 3-4.1 GHz);8 GB DDR4;Intel UHD
MediaMarkt;HP;;2999;2023.06.24;"17.3""";Intel® Core™ i3-1115G4 (2 rdzenie, 4 wątki, 3-4.1 GHz);8 GB DDR4;Intel UHD
MediaMarkt;HP;FHD Ryzen;3299;2023.06.24;"17.3""";AMD Ryzen™ 5 5625U (6 rdzeni, 12 wątków, 2.3-4.3 GHz);8 GB DDR4;AMD Radeon™
MediaMarkt;HP;Spectre x360 16-f0221nw 3K+;7299;2023.06.24;"16""";Intel® Core™ i7-11390H (4 rdzenie, 8 wątków, 2.9-5 GHz);16 GB DDR4;INTEL Iris® Xe
MediaMarkt;LENOVO;5 14ITL05 82FE0133PB;3999;2023.06.24;"14""";Intel® Core™ i7-1165G7 (4 rdzenie, 8 wątków, 1.2-4.7 GHz);8 GB DDR4;INTEL Iris® Xe
MediaMarkt;HUAWEI;B3-520;2599;2023.06.24;"15.6""";Intel® Core™ i5-1135G7 (4 rdzenie, 8 wątków, 2.4-4.2 GHz);8 GB DDR4;INTEL Iris® Xe
MediaMarkt;LG;2022 16Z90Q-G.AA79Y;7349;2023.06.24;"16""";Intel® Core™ i7-1260P (12 rdzeni, 16 wątków, 3.4-4.7 GHz);16 GB DDR5;INTEL Iris® Xe
MediaMarkt;DELL;15 3525 FHD Ryzen;3299;2023.06.24;"15.6""";AMD Ryzen™ 5 5625U (6 rdzeni, 12 wątków, 2.3-4.3 GHz);8 GB DDR4;AMD Radeon™
MediaMarkt;LG;2022 16Z90Q-G.AA76Y;6079;2023.06.24;"16""";Intel® Core™ i7-1260P (12 rdzeni, 16 wątków, 3.4-4.7 GHz);16 GB DDR5;INTEL Iris® Xe
MediaMarkt;MSI;Thin 11UD-815PL;5299;2023.06.24;"15.6""";Intel® Core™ i5-11400H (6 rdzeni, 12 wątków, 2.2-4.5 GHz);16 GB DDR4;NVIDIA GeForce RTX™ 3050 Ti 4 GB GDDR6
MediaMarkt;LG;2022 16Z90Q-G.AA78Y;6999;2023.06.24;"16""";Intel® Core™ i7-1260P (12 rdzeni, 16 wątków, 3.4-4.7 GHz);16 GB DDR5;INTEL Iris® Xe
MediaMarkt;PEAQ;S132V-1G464P;1299;2023.06.24;"13.3""";Intel® Celeron® N4020 (2 rdzenie, 2 wątki, 1.1-2.8 GHz);4 GB;Intel UHD 600
MediaMarkt;LENOVO;Gaming 3 15IHU6 82K100R8PB;4999;2023.06.24;"15.6""";Intel® Core™ i7-11370H (4 rdzenie, 8 wątków, 3.3-4.8 GHz);16 GB DDR4;NVIDIA GeForce RTX™ 3050 4 GB GDDR6
MediaMarkt;HP;17-ck1101nw;15799;2023.06.24;"17.3""";Intel® Core™ i7-12700H (14 rdzeni, 20 wątków, 2.3-4.7 GHz);32 GB DDR5;NVIDIA GeForce RTX™ 3080 Ti 16 GB GDDR6
MediaMarkt;HP;;3299;2023.06.24;"15.6""";Intel® Core™ i5-1135G7 (4 rdzenie, 8 wątków, 2.4-4.2 GHz);8 GB DDR4;INTEL Iris® Xe
MediaMarkt;LG;2022 17Z90Q-G.AA58Y;6499;2023.06.24;"17""";Intel® Core™ i5-1240P (12 rdzeni, 16 wątków, 3.3-4.4 GHz);16 GB DDR5;INTEL Iris® Xe
MediaMarkt;HP;;2499;2023.06.24;"15.6""";Intel® Core™ i3-1115G4 (2 rdzenie, 4 wątki, 3-4.1 GHz);8 GB DDR4;Intel UHD
MediaMarkt;ASUS;14 UX425EA-KI928W;4299;2023.06.24;"14""";Intel® Core™ i5-1135G7 (4 rdzenie, 8 wątków, 2.4-4.2 GHz);16 GB DDR4;INTEL Iris® Xe
