,titles,prices
0,Xiaomi Redmi 10 4/64GB Carbon Gray 90Hz,"699,00 zł"
1,Samsung Galaxy A32 SM-A325F 4/128GB Black,"999,00 zł"
2,Xiaomi Redmi Note 11 4/64GB Graphite Gray,"899,00 zł"
3,Xiaomi Redmi Note 11S 6/64GB Graphite Gray,"999,00 zł"
4,Apple iPhone 11 128GB White,"2 739,00 zł"
5,realme 9 Pro+ 6+128GB Midnight Black OIS 60W ,"1 599,00 zł"
6,ASUS ZenFone 8 8/128GB Black,"1 999,00 zł"
7,realme 10 8+128 Rush Black,"1 099,00 zł"
8,Apple iPhone 13 128GB Midnight,"4 299,00 zł"
9,Samsung Galaxy M23 5G 4/128GB Green 120Hz,"949,00 zł"
10,Xiaomi Redmi Note 10 Pro 6/128GB Onyx Gray 120Hz,"1 299,00 zł"
11,Xiaomi Redmi Note 11 4/128GB Graphite Gray,"949,00 zł"
12,Samsung Galaxy M13 4/64GB Green,"749,00 zł"
13,Apple iPhone 11 128GB Black,"2 739,00 zł"
14,Xiaomi Redmi 9A 2/32GB Glacial Blue,"479,00 zł"
15,realme 10 8+128 Clash White,"1 099,00 zł"
16,Apple iPhone 13 128GB Starlight,"4 299,00 zł"
17,Xiaomi Redmi 9A 2/32GB Green,"479,00 zł"
18,Xiaomi Redmi Note 11 4/64GB Twilight Blue ,"900,00 zł"
19,Xiaomi 11T 8/128GB Meteorite Gray,"1 699,00 zł"
20,Samsung Galaxy S20 FE 5G Fan Edition Niebieski,"2 199,00 zł"
21,Xiaomi Redmi Note 11 4/64GB Star Blue ,"900,00 zł"
22,Samsung Galaxy A13 4/64GB Black,"749,00 zł"
23,Apple iPhone 11 64GB White,"2 399,00 zł"
24,Xiaomi Redmi Note 10 Pro 6/64GB Nebula Purple 120Hz,"1 199,00 zł"
25,Xiaomi POCO X4 Pro 5G 8/256GB Laser blue,"1 699,00 zł"
26,Xiaomi POCO M4 Pro 8/256GB Cool Blue,"1 199,00 zł"
27,Samsung Galaxy A53 5G 6/128GB 120Hz Black,"1 849,00 zł"
28,Apple iPhone 11 64GB Black,"2 399,00 zł"
29,Xiaomi Redmi Note 11S 6/64GB Twilight Blue ,"999,00 zł"
30,Xiaomi Redmi 10 4/64GB Carbon Gray 90Hz,"699,00 zł"
31,Samsung Galaxy A32 SM-A325F 4/128GB Black,"999,00 zł"
32,Xiaomi Redmi Note 11 4/64GB Graphite Gray,"899,00 zł"
33,Xiaomi Redmi Note 11S 6/64GB Graphite Gray,"999,00 zł"
34,Apple iPhone 11 128GB White,"2 739,00 zł"
35,realme 9 Pro+ 6+128GB Midnight Black OIS 60W ,"1 599,00 zł"
36,ASUS ZenFone 8 8/128GB Black,"1 999,00 zł"
37,realme 10 8+128 Rush Black,"1 099,00 zł"
38,Apple iPhone 13 128GB Midnight,"4 299,00 zł"
39,Samsung Galaxy M23 5G 4/128GB Green 120Hz,"949,00 zł"
40,Xiaomi Redmi Note 10 Pro 6/128GB Onyx Gray 120Hz,"1 299,00 zł"
41,Xiaomi Redmi Note 11 4/128GB Graphite Gray,"949,00 zł"
42,Samsung Galaxy M13 4/64GB Green,"749,00 zł"
43,Apple iPhone 11 128GB Black,"2 739,00 zł"
44,Xiaomi Redmi 9A 2/32GB Glacial Blue,"479,00 zł"
45,realme 10 8+128 Clash White,"1 099,00 zł"
46,Apple iPhone 13 128GB Starlight,"4 299,00 zł"
47,Xiaomi Redmi 9A 2/32GB Green,"479,00 zł"
48,Xiaomi Redmi Note 11 4/64GB Twilight Blue ,"900,00 zł"
49,Xiaomi 11T 8/128GB Meteorite Gray,"1 699,00 zł"
50,Samsung Galaxy S20 FE 5G Fan Edition Niebieski,"2 199,00 zł"
51,Xiaomi Redmi Note 11 4/64GB Star Blue ,"900,00 zł"
52,Samsung Galaxy A13 4/64GB Black,"749,00 zł"
53,Apple iPhone 11 64GB White,"2 399,00 zł"
54,Xiaomi Redmi Note 10 Pro 6/64GB Nebula Purple 120Hz,"1 199,00 zł"
55,Xiaomi POCO X4 Pro 5G 8/256GB Laser blue,"1 699,00 zł"
56,Xiaomi POCO M4 Pro 8/256GB Cool Blue,"1 199,00 zł"
57,Samsung Galaxy A53 5G 6/128GB 120Hz Black,"1 849,00 zł"
58,Apple iPhone 11 64GB Black,"2 399,00 zł"
59,Xiaomi Redmi Note 11S 6/64GB Twilight Blue ,"999,00 zł"
60,Xiaomi POCO X4 Pro 5G 8/256GB Laser black,"1 699,00 zł"
61,realme 9 Pro+ 6+128GB Aurora Green OIS 60W,"1 599,00 zł"
62,Xiaomi Redmi 9C NFC 3/64GB Midnight  Grey,"599,00 zł"
63,Xiaomi Redmi 10C 4/128GB Ocean Blue,"749,00 zł"
64,ASUS ZenFone 8 8/128GB Silver,"1 999,00 zł"
65,Motorola moto e22 4/64GB Crystal Blue,"599,00 zł"
66,Xiaomi POCO M4 Pro 6/128GB Power Black,"1 099,00 zł"
67,Xiaomi 11 Lite 5G NE 8/128GB Truffle Black,"1 699,00 zł"
68,Motorola moto e22 4/64GB Astro Black,"599,00 zł"
69,realme narzo 50 4/128 Speed Black,"949,00 zł"
70,Xiaomi POCO M4 Pro 8/256GB Power Black,"1 199,00 zł"
71,Xiaomi Redmi 9A 2/32GB Grey,"479,00 zł"
72,Apple iPhone 13 128GB Pink,"4 299,00 zł"
73,Samsung Galaxy A13 4/64GB Blue,"749,00 zł"
74,Samsung Galaxy M13 4/64GB Blue,"749,00 zł"
75,Apple iPhone 13 Mini 128GB Midnight,"3 799,00 zł"
76,Xiaomi Redmi 10C 4/64GB Graphite Gray NFC,"699,00 zł"
77,Xiaomi 11T 8/128GB Celestial Blue,"1 699,00 zł"
78,Cat S42 H+ Dual SIM LTE czarny,"999,00 zł"
79,Nothing Phone (1) 12/256GB czarny,"2 349,00 zł"
80,Xiaomi Redmi 9C NFC 2/32GB Aurora Green,"479,00 zł"
81,Samsung Galaxy M23 5G 4/128GB Blue 120Hz,"949,00 zł"
82,Samsung Galaxy S20 FE 5G Fan Edition 8/256GB Niebieski,"2 399,00 zł"
83,Xiaomi Redmi Note 11 Pro 6/128GB Graphite Gray,"1 419,00 zł"
84,Samsung Galaxy S20 FE 5G Fan Edition 8/256GB Lawendowy,"2 399,00 zł"
85,Motorola moto g42 4/128GB Atlantic Green,"899,00 zł"
86,Xiaomi POCO X4 GT 8/256GB Black,"1 949,00 zł"
87,Xiaomi Redmi Note 11 Pro 6/128GB Star Blue,"1 419,00 zł"
88,Apple iPhone 12 128GB Black 5G,"3 999,00 zł"
89,myPhone Tango LTE,"259,00 zł"
90,Nothing Phone (1) 8/256GB czarny,"2 149,00 zł"
91,Samsung Galaxy S22 8/128GB Black,"3 399,00 zł"
92,Apple iPhone 13 128GB Blue,"4 299,00 zł"
93,Samsung Galaxy S22+ 8/256GB Black,"4 799,00 zł"
94,Xiaomi Redmi 9C NFC 2/32GB Midnight Gray,"479,00 zł"
95,Xiaomi POCO M5 4/128GB Black,"799,00 zł"
96,ASUS ZenFone 9 16/256GB Black,"3 799,00 zł"
97,Xiaomi Redmi 9C NFC 2/32GB Lavender Purple,"479,00 zł"
98,Xiaomi Redmi Note 11S 6/64GB Pearl White ,"999,00 zł"
99,vivo Y33s 8/128GB Mirror Black NFC ,"999,00 zł"
100,Motorola moto g71 5G 6/128GB Iron Black,"1 099,00 zł"
101,Samsung Galaxy S21 FE 5G Fan Edition Grey,"2 999,00 zł"
102,Samsung Galaxy S22 8/256GB Black,"3 599,00 zł"
103,Apple iPhone 13 128GB Alpine Green,"4 299,00 zł"
104,Xiaomi Redmi 9C NFC 3/64GB Twilight Blue,"599,00 zł"
105,Samsung Galaxy A32 SM-A325F 4/128GB Light Violet,"1 099,00 zł"
106,ASUS ZenFone 9 8/128GB Black,"3 299,00 zł"
107,Xiaomi 12 8/128GB Grey,"2 799,00 zł"
108,Xiaomi Redmi Note 10 Pro 6/64GB Onyx Gray 120Hz,"1 199,00 zł"
109,Xiaomi 12 8/128GB Blue,"2 799,00 zł"
110,Samsung Galaxy M23 5G 4/128GB Pink 120Hz,"949,00 zł"
111,Xiaomi 11T 8/128GB Moonlight White,"1 699,00 zł"
112,Apple iPhone 12 64GB Black 5G,"3 649,00 zł"
113,Apple iPhone 14 128GB Midnight,"4 999,00 zł"
114,OnePlus Nord 2T 5G 8/128GB  Gray Shadow EU,"1 849,00 zł"
115,Motorola moto g22 4/64 GB Cosmic Black,"699,00 zł"
116,realme 9 Pro 8+128GB Midnight Black 120Hz,"1 399,00 zł"
117,Samsung Galaxy S20 FE 5G Fan Edition Biały,"2 199,00 zł"
118,Motorola moto g72 8/128GB Meteorite Grey,"1 299,00 zł"
119,Samsung Galaxy M13 4/64GB Orange,"749,00 zł"
